"Mauritius","MUS","1266014"
"Malawi","MWI","19377061"
"Malaysia","MYS","33199993"
"North America","NAC","369582571"
"Namibia","NAM","2489098"
"New Caledonia","NCL","271080"
"Niger","NER","24333639"
"Nigeria","NGA","208327405"
"Nicaragua","NIC","6755895"
"Netherlands","NLD","17441500"
"Norway","NOR","5379475"
"Nepal","NPL","29348627"
"Nauru","NRU","12315"
"New Zealand","NZL","5090200"
"OECD members","OED","1369465369"
"Oman","OMN","4543399"
"Other small states","OSS","32381464"
"Pakistan","PAK","227196741"
"Panama","PAN","4294396"
"Peru","PER","33304756"
"Philippines","PHL","112190977"
"Palau","PLW","17972"
"Papua New Guinea","PNG","9749640"
"Poland","POL","37899070"
"Pre-demographic dividend","PRE","984213438"
"Puerto Rico","PRI","3281557"
"Korea, Dem. People's Rep.","PRK","25867467"
"Portugal","PRT","10297081"
"Paraguay","PRY","6618695"
"West Bank and Gaza","PSE","4803269"
"Pacific island small states","PSS","2566819"
"Post-demographic dividend","PST","1117418072"
"French Polynesia","PYF","301920"
"Qatar","QAT","2760385"
"Romania","ROU","19265250"
"Russia","RUS","144073139"
"Rwanda","RWA","13146362"
"South Asia","SAS","1882531620"
"Saudi Arabia","SAU","35997107"
"Sudan","SDN","44440486"
"Senegal","SEN","16436120"
"Singapore","SGP","5685807"
"Solomon Islands","SLB","691191"
"Sierra Leone","SLE","8233970"
"El Salvador","SLV","6292731"
"San Marino","SMR","34007"
"Somalia","SOM","16537016"
"Serbia","SRB","6899126"
"Sub-Saharan Africa (excluding high income)","SSA","1151203619"
"South Sudan","SSD","10606227"
"Sub-Saharan Africa","SSF","1151302081"
"Small states","SST","42393051"
"Sao Tome and Principe","STP","218641"
"Suriname","SUR","607065"
"Slovak Republic","SVK","5458827"
"Slovenia","SVN","2102419"
"Sweden","SWE","10353442"
"Eswatini","SWZ","1180655"
"Sint Maarten (Dutch part)","SXM","42310"
"Seychelles","SYC","98462"
"Syrian Arab Republic","SYR","20772595"
"Turks and Caicos Islands","TCA","44276"
"Chad","TCD","16644701"
"East Asia & Pacific (IDA & IBRD countries)","TEA","2090523535"
"Europe & Central Asia (IDA & IBRD countries)","TEC","461273023"
"Togo","TGO","8442580"
"Thailand","THA","71475664"
"Tajikistan","TJK","9543207"
"Turkmenistan","TKM","6250438"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","634680385"
"Timor-Leste","TLS","1299995"
"Middle East & North Africa (IDA & IBRD countries)","TMN","407006855"
