Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Equatorial Guinea,2.0,10.0,1166712.0,1596049.0,1.65,24.55,Af,0.0
Eritrea,15.0,39.0,1470245.0,3555868.0,0.0,25.5,BSh,0.9666666666666667
Estonia,59.0,26.0,920415.0,1329522.0,2.11,2.0,Dfb,0.9361111111111111
Ethiopia,8.0,38.0,25424568.0,117190911.0,1.61,22.2,Cwb,0.7645833333333333
Fiji,-18.0,175.0,526914.0,920422.0,6.25,24.4,Af,0.9520833333333333
Finland,64.0,26.0,4728699.0,5529543.0,3.69,1.55,Dfc,0.9097222222222222
France,46.0,2.0,54715704.0,67571107.0,6.18,10.7,Cfb,0.8033333333333333
Gabon,-1.0,11.75,2065425.0,2292573.0,0.62,25.05,Aw,0.851388888888889
Georgia,42.0,43.5,2213266.0,3722716.0,0.6,5.65,Cfb,0.821875
Germany,51.0,9.0,64410589.0,83160871.0,3.38,8.4,Cfb,0.9583333333333334
Ghana,8.0,-2.0,18455138.0,32180401.0,0.65,27.2,Aw,0.6944444444444445
Greece,39.0,22.0,8528388.0,10698599.0,2.19,13.03,Csa,0.7833333333333333
Grenada,12.1167,-61.6667,45183.0,123663.0,0.0,26.0,Aw,0.0
Guatemala,15.5,-90.25,8738685.0,16858333.0,3.61,23.45,Cwb,0.7652777777777777
Guinea-Bissau,12.0,-15.0,890915.0,2015828.0,1.68,26.75,Aw,0.9708333333333333
Guinea,11.0,-10.0,4869400.0,13205153.0,0.62,25.7,Aw,0.9041666666666667
Guyana,5.0,-59.0,213539.0,797202.0,2.72,26.0,Af,0.784375
Haiti,19.0,-72.4167,6454827.0,11306801.0,2.6,24.9,Aw,0.9416666666666667
Honduras,15.0,-86.5,5906960.0,10121763.0,3.06,23.5,Am,0.8072916666666666
Hungary,47.0,20.0,7014452.0,9750149.0,3.43,9.75,Cfb,0.9666666666666667
Iceland,65.0,-18.0,344101.0,366463.0,0.4,-0.7,ET,0.9569444444444444
India,20.0,77.0,487702168.0,1396387127.0,1.59,23.65,As,0.6947916666666667
Indonesia,-5.0,120.0,153983073.0,271857970.0,3.88,25.85,Am,0.65
Iraq,33.0,44.0,30169923.0,42556984.0,2.63,21.4,BWh,0.775
Ireland,53.0,-8.0,3173345.0,4985382.0,5.33,9.3,Cfb,0.9347222222222222
Israel,31.5,34.75,8531985.0,9215100.0,0.65,19.2,BSh,0.7819444444444444
Italy,42.8333,12.8333,42224765.0,59438851.0,11.82,11.45,Cfb,0.9416666666666667
Jamaica,18.25,-77.5,1588216.0,2820436.0,1.41,24.95,Aw,0.9104166666666667
Japan,36.0,138.0,115884871.0,126261000.0,1.91,9.15,Dfb,0.8947916666666667
Jordan,31.0,36.0,9990818.0,10928721.0,0.58,18.3,BSk,0.9166666666666666
Kazakhstan,48.0,68.0,10816580.0,18755666.0,1.58,5.5,BSk,0.8166666666666667
Kenya,1.0,38.0,14553419.0,51985780.0,1.78,24.75,As,0.8104166666666667
Kuwait,29.3375,47.6581,4360444.0,4360444.0,0.58,27.15,BWh,0.8875
Latvia,57.0,25.0,1298292.0,1900449.0,2.29,5.6,Dfb,0.9604166666666667
Lebanon,33.8333,35.8333,5035754.0,5662923.0,1.03,12.0,Csa,0.8645833333333334
Lesotho,-29.5,28.5,654320.0,2254100.0,2.32,9.85,Cwb,0.94375
Liberia,6.5,-9.5,2650072.0,5087584.0,6.13,25.3,Am,0.7958333333333333
Libya,25.0,17.0,5369132.0,6653942.0,1.56,21.8,BWh,0.8270833333333333
Liechtenstein,47.1667,9.5333,5587.0,38756.0,0.86,5.8,Cfb,0.9708333333333333
Lithuania,56.0,24.0,1901807.0,2794885.0,2.21,6.2,Dfb,0.4625
Luxembourg,49.75,6.1667,576537.0,630419.0,1.53,8.65,Cfb,0.96875
Madagascar,-20.0,47.0,10876290.0,28225177.0,1.4,22.65,Cwb,0.8302083333333333
Malawi,-13.5,34.0,3376840.0,19377061.0,3.12,21.9,Cwa,0.85
Malaysia,2.5,112.5,25617115.0,33199993.0,1.27,25.4,Af,0.9604166666666667
Maldives,3.25,73.0,209217.0,514438.0,0.34,28.0,Am,0.5958333333333333
Mali,17.0,-4.0,9319264.0,21224040.0,4.28,28.25,BWh,0.8222222222222223
Malta,35.8333,14.5833,488246.0,515332.0,0.88,19.2,Csa,0.9270833333333334
Mauritania,20.0,-12.0,2488943.0,4498604.0,2.17,27.65,BWh,0.9097222222222222
Mauritius,-20.2833,57.55,516027.0,1266014.0,2.72,22.4,Am,0.9708333333333333
Mexico,23.0,-102.0,101719689.0,125998302.0,10.56,21.0,BSk,0.6569444444444446
Monaco,43.7333,7.4,36922.0,36922.0,0.5,16.4,Csb,0.9395833333333333
Mongolia,46.0,105.0,2261792.0,3294335.0,0.0,1.7,BSk,0.9625
Montenegro,42.0,19.0,419307.0,621306.0,1.6,10.55,Cfb,0.7895833333333333
Morocco,32.0,-5.0,23309111.0,36688772.0,1.78,17.1,BSk,0.765625
Mozambique,-18.25,35.0,11559020.0,31178239.0,0.67,23.8,Aw,0.7447916666666666
Namibia,-22.0,17.0,1295152.0,2489098.0,1.1,19.95,BWh,0.8388888888888889
Nepal,28.0,84.0,6038773.0,29348627.0,0.64,8.1,Cwb,0.7083333333333334
Netherlands,52.5,5.75,16087342.0,17441500.0,6.02,9.25,Cfb,0.8847222222222223
New Zealand,-41.0,174.0,4413152.0,5090200.0,1.37,10.74,Cfb,0.9833333333333333
Nicaragua,13.0,-85.0,3986789.0,6755895.0,2.94,24.9,Am,0.9916666666666667
Niger,16.0,8.0,4045711.0,24333639.0,5.78,27.15,BWh,0.98125
Nigeria,10.0,8.0,108242753.0,208327405.0,1.91,27.0,Aw,0.7791666666666667
Norway,62.0,10.0,4463566.0,5379475.0,2.01,1.5,ET,0.9458333333333333
Oman,21.0,57.0,3919863.0,4543399.0,0.92,25.6,BWh,0.809375
Pakistan,30.0,70.0,84437669.0,227196741.0,2.09,20.2,BSh,0.8270833333333333
Panama,9.0,-80.0,2937968.0,4294396.0,2.12,25.4,Am,0.6270833333333333
Papua New Guinea,-6.0,147.0,1301089.0,9749640.0,1.33,25.25,Af,0.9277777777777777
Paraguay,-23.0,-58.0,4115703.0,6618695.0,2.04,23.55,Aw,0.7916666666666666
Peru,-10.0,-76.0,26076625.0,33304756.0,4.07,19.6,Cfb,0.6944444444444445
Philippines,13.0,122.0,53187498.0,112190977.0,1.73,25.55,Am,0.703125
Poland,52.0,20.0,22755739.0,37899070.0,2.87,7.85,Cfb,0.6333333333333333
Portugal,39.5,-8.0,6827994.0,10297081.0,2.74,12.15,Csb,0.9416666666666667
Qatar,25.5,51.25,2739268.0,2760385.0,0.17,27.15,BWh,0.8694444444444444
Romania,46.0,25.0,10440610.0,19265250.0,3.91,8.8,Dfb,0.6111111111111112
Russia,60.0,100.0,107700434.0,144073139.0,1.76,-5.35,Dfc,0.825
Rwanda,-2.0,30.0,2291674.0,13146362.0,0.56,17.85,Aw,0.7569444444444445
Saint Kitts and Nevis,17.3333,-62.75,14694.0,47642.0,0.0,24.5,Aw,1.0
Saint Lucia,13.8833,-61.1333,33770.0,179237.0,0.0,25.5,Af,0.9708333333333333
Saint Vincent and the Grenadines,13.25,-61.2,55488.0,104632.0,0.0,26.8,Af,0.9916666666666667
San Marino,43.7667,12.4167,33156.0,34007.0,5.81,10.9,Cfb,0.9125
Sao Tome and Principe,1.0,7.0,162568.0,218641.0,0.0,23.75,Af,0.9333333333333333
Saudi Arabia,25.0,45.0,30340882.0,35997107.0,1.38,24.65,BWh,0.8166666666666667
Senegal,14.0,-14.0,7909390.0,16436120.0,2.05,27.85,BSh,0.6888888888888888
Serbia,44.0,21.0,3894281.0,6899126.0,2.25,10.55,Cfb,0.7270833333333333
Seychelles,-4.5833,55.6667,56661.0,98462.0,0.0,27.15,Af,0.0
Sierra Leone,8.5,-11.5,3534267.0,8233970.0,3.3,26.05,Am,0.861111111111111
Singapore,1.3667,103.8,5685807.0,5685807.0,0.05,27.5,Af,0.903125
Slovenia,46.0,15.0,1158811.0,2102419.0,3.05,8.9,Cfb,0.7833333333333333
Somalia,10.0,49.0,7630345.0,16537016.0,2.83,27.05,BWh,0.8666666666666667
South Africa,-29.0,24.0,39605450.0,58801927.0,2.44,17.75,BSh,0.8430555555555556
Spain,40.0,-4.0,38276186.0,47365655.0,4.47,11.3,Csa,0.85
Sri Lanka,7.0,81.0,4101702.0,21919000.0,0.39,26.95,Af,0.8260416666666667
Sudan,15.0,30.0,15666605.0,44440486.0,6.16,26.9,BWh,0.9013888888888889
Suriname,4.0,-56.0,401567.0,607065.0,2.11,25.7,Af,0.7819444444444444
Sweden,62.0,15.0,9108648.0,10353442.0,6.55,1.75,Dfc,0.7791666666666667
Switzerland,47.0,8.0,6384901.0,8638167.0,4.03,5.1,Cfb,0.9604166666666667
Tajikistan,39.0,71.0,2624955.0,9543207.0,0.78,6.4,Dsb,0.95
Thailand,15.0,100.0,36759934.0,71475664.0,1.68,26.3,Aw,0.9541666666666667
Timor-Leste,-8.55,125.5167,407158.0,1299995.0,0.0,25.25,Aw,0.0
Togo,8.0,1.1667,3613424.0,8442580.0,2.41,27.15,Aw,0.5770833333333333
Trinidad and Tobago,11.0,-61.0,807867.0,1518147.0,1.62,25.75,Am,0.9013888888888889
Tunisia,34.0,9.0,8460667.0,12161723.0,1.39,19.2,BWh,0.9333333333333333
Uganda,1.0,32.0,11080727.0,44404611.0,1.0,22.8,Am,0.9055555555555556
Ukraine,49.0,32.0,30719437.0,44132049.0,2.0,8.3,Dfb,0.6569444444444446
United Arab Emirates,24.0,54.0,8084399.0,9287289.0,0.46,26.65,BWh,0.875
United Kingdom,54.0,-2.0,56283168.0,67081234.0,3.09,8.45,Cfb,0.9027777777777778
United States,38.0,-97.0,274040676.0,331511512.0,2.91,8.55,Cfa,0.6708333333333333
Uruguay,-33.0,-56.0,3275291.0,3429086.0,2.42,17.55,Cfa,0.9791666666666666
Uzbekistan,41.0,64.0,17258430.0,34232050.0,0.83,10.05,BWk,0.6489583333333333
Venezuela,8.0,-66.0,25151087.0,28490453.0,0.83,25.35,Aw,0.7375
Vietnam,16.0,106.0,36088619.0,96648685.0,3.27,24.45,Aw,0.940625
Zambia,-15.0,30.0,8447250.0,18927715.0,2.3,21.4,Cwa,0.9208333333333333
Zimbabwe,-20.0,30.0,5052214.0,15669666.0,2.94,21.0,BSh,0.7979166666666667
