Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Iceland,65.0,-18.0,344101.0,366463.0,0.4,-0.7,ET,0.41429731582402995
India,20.0,77.0,487702168.0,1396387127.0,1.59,23.65,As,0.14156831201961287
Indonesia,-5.0,120.0,153983073.0,271857970.0,3.88,25.85,Am,0.08777205000320999
Iraq,33.0,44.0,30169923.0,42556984.0,2.63,21.4,BWh,0.11203570052094147
Ireland,53.0,-8.0,3173345.0,4985382.0,5.33,9.3,Cfb,0.3467225453204223
Israel,31.5,34.75,8531985.0,9215100.0,0.65,19.2,BSh,0.14873440640977223
Italy,42.8333,12.8333,42224765.0,59438851.0,11.82,11.45,Cfb,1.0
Jamaica,18.25,-77.5,1588216.0,2820436.0,1.41,24.95,Aw,0.37854403221971383
Japan,36.0,138.0,115884871.0,126261000.0,1.91,9.15,Dfb,0.249363717163864
Jordan,31.0,36.0,9990818.0,10928721.0,0.58,18.3,BSk,0.599572592258017
Kazakhstan,48.0,68.0,10816580.0,18755666.0,1.58,5.5,BSk,0.32902881121367894
Kenya,1.0,38.0,14553419.0,51985780.0,1.78,24.75,As,0.1883367379116646
Kuwait,29.3375,47.6581,4360444.0,4360444.0,0.58,27.15,BWh,0.24120658228569838
Latvia,57.0,25.0,1298292.0,1900449.0,2.29,5.6,Dfb,0.34495763838391885
Lebanon,33.8333,35.8333,5035754.0,5662923.0,1.03,12.0,Csa,0.24175534838189575
Lesotho,-29.5,28.5,654320.0,2254100.0,2.32,9.85,Cwb,0.2734609664579481
Liberia,6.5,-9.5,2650072.0,5087584.0,6.13,25.3,Am,0.14857045174915054
Libya,25.0,17.0,5369132.0,6653942.0,1.56,21.8,BWh,0.2547425780291429
Liechtenstein,47.1667,9.5333,5587.0,38756.0,0.86,5.8,Cfb,0.5035897815084157
Lithuania,56.0,24.0,1901807.0,2794885.0,2.21,6.2,Dfb,0.0036630274928812915
Luxembourg,49.75,6.1667,576537.0,630419.0,1.53,8.65,Cfb,0.414140521541499
Madagascar,-20.0,47.0,10876290.0,28225177.0,1.4,22.65,Cwb,0.24700857613261562
Malawi,-13.5,34.0,3376840.0,19377061.0,3.12,21.9,Cwa,0.1733745431243565
Malaysia,2.5,112.5,25617115.0,33199993.0,1.27,25.4,Af,0.29653450350702465
Maldives,3.25,73.0,209217.0,514438.0,0.34,28.0,Am,0.08710219913348712
Mali,17.0,-4.0,9319264.0,21224040.0,4.28,28.25,BWh,0.17289577387565022
Malta,35.8333,14.5833,488246.0,515332.0,0.88,19.2,Csa,0.2111841437524178
Mauritania,20.0,-12.0,2488943.0,4498604.0,2.17,27.65,BWh,0.3062206132550681
Mauritius,-20.2833,57.55,516027.0,1266014.0,2.72,22.4,Am,0.43975270214940737
Mexico,23.0,-102.0,101719689.0,125998302.0,10.56,21.0,BSk,0.06593960794142666
Monaco,43.7333,7.4,36922.0,36922.0,0.5,16.4,Csb,0.44907957991498954
Mongolia,46.0,105.0,2261792.0,3294335.0,0.0,1.7,BSk,0.3377814846445959
Montenegro,42.0,19.0,419307.0,621306.0,1.6,10.55,Cfb,0.13854565946267575
Morocco,32.0,-5.0,23309111.0,36688772.0,1.78,17.1,BSk,0.1979979039750053
Mozambique,-18.25,35.0,11559020.0,31178239.0,0.67,23.8,Aw,0.15141557362606675
Namibia,-22.0,17.0,1295152.0,2489098.0,1.1,19.95,BWh,0.21152506840225996
Nepal,28.0,84.0,6038773.0,29348627.0,0.64,8.1,Cwb,0.11875279302475496
Netherlands,52.5,5.75,16087342.0,17441500.0,6.02,9.25,Cfb,0.26211366510571193
New Zealand,-41.0,174.0,4413152.0,5090200.0,1.37,10.74,Cfb,0.4239871861918752
Nicaragua,13.0,-85.0,3986789.0,6755895.0,2.94,24.9,Am,0.44291446756567265
Niger,16.0,8.0,4045711.0,24333639.0,5.78,27.15,BWh,0.3927404802780178
Nigeria,10.0,8.0,108242753.0,208327405.0,1.91,27.0,Aw,0.108977843983869
Norway,62.0,10.0,4463566.0,5379475.0,2.01,1.5,ET,0.3407213717162456
Oman,21.0,57.0,3919863.0,4543399.0,0.92,25.6,BWh,0.1772018057404965
Pakistan,30.0,70.0,84437669.0,227196741.0,2.09,20.2,BSh,0.21356457885130622
Panama,9.0,-80.0,2937968.0,4294396.0,2.12,25.4,Am,0.09004313526721772
Papua New Guinea,-6.0,147.0,1301089.0,9749640.0,1.33,25.25,Af,0.35193469673136185
Paraguay,-23.0,-58.0,4115703.0,6618695.0,2.04,23.55,Aw,0.24072348044154562
Peru,-10.0,-76.0,26076625.0,33304756.0,4.07,19.6,Cfb,0.057738903018592046
Philippines,13.0,122.0,53187498.0,112190977.0,1.73,25.55,Am,0.12827327697774815
Poland,52.0,20.0,22755739.0,37899070.0,2.87,7.85,Cfb,0.03694397510813666
Portugal,39.5,-8.0,6827994.0,10297081.0,2.74,12.15,Csb,0.30666296526757664
