Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Iceland,65.0,-18.0,344101.0,366463.0,0.4,-0.7,ET,0.5378270743946186
India,20.0,77.0,487702168.0,1396387127.0,1.59,23.65,As,0.1838142265489085
Indonesia,-5.0,120.0,153983073.0,271857970.0,3.88,25.85,Am,0.12950065948943396
Iraq,33.0,44.0,30169923.0,42556984.0,2.63,21.4,BWh,0.1454240917246516
Ireland,53.0,-8.0,3173345.0,4985382.0,5.33,9.3,Cfb,0.3963678689598301
Israel,31.5,34.75,8531985.0,9215100.0,0.65,19.2,BSh,0.1806201090835573
Italy,42.8333,12.8333,42224765.0,59438851.0,11.82,11.45,Cfb,0.3428568350930263
Jamaica,18.25,-77.5,1588216.0,2820436.0,1.41,24.95,Aw,0.4846331927418503
Japan,36.0,138.0,115884871.0,126261000.0,1.91,9.15,Dfb,0.3185789155653061
Jordan,31.0,36.0,9990818.0,10928721.0,0.58,18.3,BSk,0.5619304413103903
Kazakhstan,48.0,68.0,10816580.0,18755666.0,1.58,5.5,BSk,0.31021449550065183
Kenya,1.0,38.0,14553419.0,51985780.0,1.78,24.75,As,0.2163121786286959
Kuwait,29.3375,47.6581,4360444.0,4360444.0,0.58,27.15,BWh,0.3270557370552688
Latvia,57.0,25.0,1298292.0,1900449.0,2.29,5.6,Dfb,0.4049569659530084
Lebanon,33.8333,35.8333,5035754.0,5662923.0,1.03,12.0,Csa,0.2892798727689873
Lesotho,-29.5,28.5,654320.0,2254100.0,2.32,9.85,Cwb,0.30424167623901477
Liberia,6.5,-9.5,2650072.0,5087584.0,6.13,25.3,Am,0.15394308710663748
Libya,25.0,17.0,5369132.0,6653942.0,1.56,21.8,BWh,0.3037624628903328
Liechtenstein,47.1667,9.5333,5587.0,38756.0,0.86,5.8,Cfb,0.3786440548972809
Lithuania,56.0,24.0,1901807.0,2794885.0,2.21,6.2,Dfb,0.04288538819658915
Luxembourg,49.75,6.1667,576537.0,630419.0,1.53,8.65,Cfb,0.4192620515808687
Madagascar,-20.0,47.0,10876290.0,28225177.0,1.4,22.65,Cwb,0.2688991478965539
Malawi,-13.5,34.0,3376840.0,19377061.0,3.12,21.9,Cwa,0.23236642313072958
Malaysia,2.5,112.5,25617115.0,33199993.0,1.27,25.4,Af,0.31497555691206996
Maldives,3.25,73.0,209217.0,514438.0,0.34,28.0,Am,0.09587781896495311
Mali,17.0,-4.0,9319264.0,21224040.0,4.28,28.25,BWh,0.19908959881134727
Malta,35.8333,14.5833,488246.0,515332.0,0.88,19.2,Csa,0.22822969843983767
Mauritania,20.0,-12.0,2488943.0,4498604.0,2.17,27.65,BWh,0.37120250217407547
Mauritius,-20.2833,57.55,516027.0,1266014.0,2.72,22.4,Am,0.39716235100659136
Mexico,23.0,-102.0,101719689.0,125998302.0,10.56,21.0,BSk,0.11731382670412055
Monaco,43.7333,7.4,36922.0,36922.0,0.5,16.4,Csb,0.7153365402733799
Mongolia,46.0,105.0,2261792.0,3294335.0,0.0,1.7,BSk,0.17265489670986614
Montenegro,42.0,19.0,419307.0,621306.0,1.6,10.55,Cfb,0.1500922411907864
Morocco,32.0,-5.0,23309111.0,36688772.0,1.78,17.1,BSk,0.22862220353134646
Mozambique,-18.25,35.0,11559020.0,31178239.0,0.67,23.8,Aw,0.1680813429440428
Namibia,-22.0,17.0,1295152.0,2489098.0,1.1,19.95,BWh,0.22770120450163298
Nepal,28.0,84.0,6038773.0,29348627.0,0.64,8.1,Cwb,0.12223523001930078
